data;codice_regione;codice_provincia;totale_casi
18316.0;13;66;0
18316.0;13;67;0
18316.0;13;68;0
18316.0;13;69;0
18316.0;13;979;0
18316.0;17;76;0
18316.0;17;77;0
18316.0;17;980;0
18316.0;18;78;0
18316.0;18;79;0
18316.0;18;80;0
18316.0;18;101;0
18316.0;18;102;0
18316.0;18;982;0
18316.0;15;61;0
18316.0;15;62;0
18316.0;15;63;0
18316.0;15;64;0
18316.0;15;65;0
18316.0;15;983;0
18316.0;8;33;0
18316.0;8;34;0
18316.0;8;35;0
18316.0;8;36;0
18316.0;8;37;0
18316.0;8;38;0
18316.0;8;39;0
18316.0;8;40;0
18316.0;8;99;0
18316.0;8;984;0
18316.0;6;30;0
18316.0;6;31;0
18316.0;6;32;0
18316.0;6;93;0
18316.0;6;985;0
18316.0;12;56;0
18316.0;12;57;0
18316.0;12;58;0
18316.0;12;59;0
18316.0;12;60;0
18316.0;12;986;0
18316.0;7;8;0
18316.0;7;9;0
18316.0;7;10;0
18316.0;7;11;0
18316.0;7;987;0
18316.0;3;12;0
18316.0;3;13;0
18316.0;3;14;0
18316.0;3;15;0
18316.0;3;16;0
18316.0;3;17;0
18316.0;3;18;0
18316.0;3;19;0
18316.0;3;20;0
18316.0;3;97;0
18316.0;3;98;0
18316.0;3;108;0
18316.0;3;988;0
18316.0;11;41;0
18316.0;11;42;0
18316.0;11;43;0
18316.0;11;44;0
18316.0;11;109;0
18316.0;11;989;0
18316.0;14;70;0
18316.0;14;94;0
18316.0;14;990;0
18316.0;21;21;0
18316.0;21;981;0
18316.0;22;22;0
18316.0;22;996;0
18316.0;1;1;0
18316.0;1;2;0
18316.0;1;3;0
18316.0;1;4;0
18316.0;1;5;0
18316.0;1;6;0
18316.0;1;96;0
18316.0;1;103;0
18316.0;1;991;0
18316.0;16;71;0
18316.0;16;72;0
18316.0;16;73;0
18316.0;16;74;0
18316.0;16;75;0
18316.0;16;110;0
18316.0;16;992;0
18316.0;20;90;0
18316.0;20;91;0
18316.0;20;92;0
18316.0;20;95;0
18316.0;20;111;0
18316.0;20;993;0
18316.0;19;81;0
18316.0;19;82;0
18316.0;19;83;0
18316.0;19;84;0
18316.0;19;85;0
18316.0;19;86;0
18316.0;19;87;0
18316.0;19;88;0
18316.0;19;89;0
18316.0;19;994;0
18316.0;9;45;0
18316.0;9;46;0
18316.0;9;47;0
18316.0;9;48;0
18316.0;9;49;0
18316.0;9;50;0
18316.0;9;51;0
18316.0;9;52;0
18316.0;9;53;0
18316.0;9;100;0
18316.0;9;995;0
18316.0;10;54;0
18316.0;10;55;0
18316.0;10;997;0
18316.0;2;7;0
18316.0;2;998;0
18316.0;5;23;0
18316.0;5;24;0
18316.0;5;25;0
18316.0;5;26;0
18316.0;5;27;0
18316.0;5;28;0
18316.0;5;29;0
18316.0;5;999;0
18317.0;13;66;0
18317.0;13;67;0
18317.0;13;68;0
18317.0;13;69;0
18317.0;13;979;0
18317.0;17;76;0
18317.0;17;77;0
18317.0;17;980;0
18317.0;18;78;0
18317.0;18;79;0
18317.0;18;80;0
18317.0;18;101;0
18317.0;18;102;0
18317.0;18;982;0
18317.0;15;61;0
18317.0;15;62;0
18317.0;15;63;0
18317.0;15;64;0
18317.0;15;65;0
18317.0;15;983;0
18317.0;8;33;18
18317.0;8;34;4
18317.0;8;35;0
18317.0;8;36;3
18317.0;8;37;0
18317.0;8;38;0
18317.0;8;39;0
18317.0;8;40;0
18317.0;8;99;1
18317.0;8;984;0
18317.0;6;30;0
18317.0;6;31;0
18317.0;6;32;0
18317.0;6;93;0
18317.0;6;985;0
18317.0;12;56;0
18317.0;12;57;0
18317.0;12;58;3
18317.0;12;59;0
18317.0;12;60;0
18317.0;12;986;0
18317.0;7;8;0
18317.0;7;9;1
18317.0;7;10;0
18317.0;7;11;0
18317.0;7;987;0
18317.0;3;12;0
18317.0;3;13;0
18317.0;3;14;1
18317.0;3;15;8
18317.0;3;16;18
18317.0;3;17;0
18317.0;3;18;27
18317.0;3;19;53
18317.0;3;20;0
18317.0;3;97;0
18317.0;3;98;125
18317.0;3;108;3
18317.0;3;988;5
18317.0;11;41;0
18317.0;11;42;0
18317.0;11;43;0
18317.0;11;44;0
18317.0;11;109;0
18317.0;11;989;0
18317.0;14;70;0
18317.0;14;94;0
18317.0;14;990;0
18317.0;21;21;1
18317.0;21;981;0
18317.0;22;22;0
18317.0;22;996;0
18317.0;1;1;3
18317.0;1;2;0
18317.0;1;3;0
18317.0;1;4;0
18317.0;1;5;0
18317.0;1;6;0
18317.0;1;96;0
18317.0;1;103;0
18317.0;1;991;0
18317.0;16;71;0
18317.0;16;72;0
18317.0;16;73;0
18317.0;16;74;0
18317.0;16;75;0
18317.0;16;110;0
18317.0;16;992;0
18317.0;20;90;0
18317.0;20;91;0
18317.0;20;92;0
18317.0;20;95;0
18317.0;20;111;0
18317.0;20;993;0
18317.0;19;81;0
18317.0;19;82;3
18317.0;19;83;0
18317.0;19;84;0
18317.0;19;85;0
18317.0;19;86;0
18317.0;19;87;0
18317.0;19;88;0
18317.0;19;89;0
18317.0;19;994;0
18317.0;9;45;0
18317.0;9;46;0
18317.0;9;47;1
18317.0;9;48;1
18317.0;9;49;0
18317.0;9;50;0
18317.0;9;51;0
18317.0;9;52;0
18317.0;9;53;0
18317.0;9;100;0
18317.0;9;995;0
18317.0;10;54;0
18317.0;10;55;0
18317.0;10;997;0
18317.0;2;7;0
18317.0;2;998;0
18317.0;5;23;0
18317.0;5;24;0
18317.0;5;25;0
18317.0;5;26;1
18317.0;5;27;7
18317.0;5;28;30
18317.0;5;29;0
18317.0;5;999;5
18318.0;13;66;0
18318.0;13;67;0
18318.0;13;68;0
18318.0;13;69;0
18318.0;13;979;0
18318.0;17;76;0
18318.0;17;77;0
18318.0;17;980;0
18318.0;18;78;0
18318.0;18;79;0
18318.0;18;80;0
18318.0;18;101;0
18318.0;18;102;0
18318.0;18;982;0
18318.0;15;61;0
18318.0;15;62;0
18318.0;15;63;0
18318.0;15;64;0
18318.0;15;65;0
18318.0;15;983;0
18318.0;8;33;28
18318.0;8;34;8
18318.0;8;35;0
18318.0;8;36;8
18318.0;8;37;0
18318.0;8;38;0
18318.0;8;39;0
18318.0;8;40;0
18318.0;8;99;3
18318.0;8;984;0
18318.0;6;30;0
18318.0;6;31;0
18318.0;6;32;0
18318.0;6;93;0
18318.0;6;985;0
18318.0;12;56;0
18318.0;12;57;0
18318.0;12;58;3
18318.0;12;59;0
18318.0;12;60;0
18318.0;12;986;0
18318.0;7;8;0
18318.0;7;9;10
18318.0;7;10;0
18318.0;7;11;1
18318.0;7;987;0
18318.0;3;12;0
18318.0;3;13;0
18318.0;3;14;3
18318.0;3;15;8
18318.0;3;16;20
18318.0;3;17;2
18318.0;3;18;27
18318.0;3;19;57
18318.0;3;20;0
18318.0;3;97;0
18318.0;3;98;128
18318.0;3;108;4
18318.0;3;988;9
18318.0;11;41;1
18318.0;11;42;0
18318.0;11;43;0
18318.0;11;44;0
18318.0;11;109;0
18318.0;11;989;0
18318.0;14;70;0
18318.0;14;94;0
18318.0;14;990;0
18318.0;21;21;1
18318.0;21;981;0
18318.0;22;22;0
18318.0;22;996;0
18318.0;1;1;3
18318.0;1;2;0
18318.0;1;3;0
18318.0;1;4;0
18318.0;1;5;0
18318.0;1;6;0
18318.0;1;96;0
18318.0;1;103;0
18318.0;1;991;0
18318.0;16;71;0
18318.0;16;72;0
18318.0;16;73;0
18318.0;16;74;0
18318.0;16;75;0
18318.0;16;110;0
18318.0;16;992;0
18318.0;20;90;0
18318.0;20;91;0
18318.0;20;92;0
18318.0;20;95;0
18318.0;20;111;0
18318.0;20;993;0
18318.0;19;81;0
18318.0;19;82;3
18318.0;19;83;0
18318.0;19;84;0
18318.0;19;85;0
