data;codice_regione;codice_provincia;totale_casi
18316.0;12;56;0
18316.0;12;57;0
18316.0;12;58;0
18316.0;12;59;0
18316.0;12;60;0
18316.0;12;986;0
18317.0;12;56;0
18317.0;12;57;0
18317.0;12;58;3
18317.0;12;59;0
18317.0;12;60;0
18317.0;12;986;0
18318.0;12;56;0
18318.0;12;57;0
18318.0;12;58;3
18318.0;12;59;0
18318.0;12;60;0
18318.0;12;986;0
18319.0;12;56;0
18319.0;12;57;0
18319.0;12;58;3
18319.0;12;59;0
18319.0;12;60;0
18319.0;12;986;0
18320.0;12;56;0
18320.0;12;57;0
18320.0;12;58;3
18320.0;12;59;0
18320.0;12;60;0
18320.0;12;986;0
18321.0;12;56;0
18321.0;12;57;0
18321.0;12;58;6
18321.0;12;59;0
18321.0;12;60;0
18321.0;12;986;0
18264.0;12;56;0
18264.0;12;57;0
18264.0;12;58;6
18264.0;12;59;0
18264.0;12;60;0
18264.0;12;986;0
18295.0;12;56;0
18295.0;12;57;0
18295.0;12;58;7
18295.0;12;59;0
18295.0;12;60;0
18295.0;12;986;0
18324.0;12;56;0
18324.0;12;57;0
18324.0;12;58;14
18324.0;12;59;0
18324.0;12;60;0
18324.0;12;986;0
18355.0;12;56;0
18355.0;12;57;0
18355.0;12;58;29
18355.0;12;59;0
18355.0;12;60;1
18355.0;12;986;0
18385.0;12;56;0
18385.0;12;57;0
18385.0;12;58;42
18385.0;12;59;0
18385.0;12;60;1
18385.0;12;986;1
18416.0;12;56;2
18416.0;12;57;0
18416.0;12;58;49
18416.0;12;59;2
18416.0;12;60;1
18416.0;12;986;0
18446.0;12;56;2
18446.0;12;57;0
18446.0;12;58;71
18446.0;12;59;2
18446.0;12;60;1
18446.0;12;986;0
18477.0;12;56;2
18477.0;12;57;0
18477.0;12;58;77
18477.0;12;59;6
18477.0;12;60;2
18477.0;12;986;0
18508.0;12;56;2
18508.0;12;57;0
18508.0;12;58;91
18508.0;12;59;6
18508.0;12;60;2
18508.0;12;986;1
18538.0;12;56;5
18538.0;12;57;1
18538.0;12;58;76
18538.0;12;59;11
18538.0;12;60;6
18538.0;12;986;17
18569.0;12;56;10
18569.0;12;57;3
18569.0;12;58;99
18569.0;12;59;11
18569.0;12;60;8
18569.0;12;986;19
18599.0;12;56;5
18599.0;12;57;2
18599.0;12;58;162
18599.0;12;59;11
18599.0;12;60;18
18599.0;12;986;2
18334.0;12;56;10
18334.0;12;57;3
18334.0;12;58;218
18334.0;12;59;15
18334.0;12;60;28
18334.0;12;986;3
18335.0;12;56;13
18335.0;12;57;3
18335.0;12;58;288
18335.0;12;59;20
18335.0;12;60;28
18335.0;12;986;5
18336.0;12;56;15
18336.0;12;57;4
18336.0;12;58;354
18336.0;12;59;23
18336.0;12;60;34
18336.0;12;986;6
18337.0;12;56;27
18337.0;12;57;11
