fecha;cod_ine;num_casos;num_casos_prueba_pcr;num_casos_prueba_test_ac;num_casos_prueba_otras;num_casos_prueba_desconocida
18263.0;11;0;0;0;0;0
18264.0;11;5;3;2;0;0
18265.0;11;134;89;45;0;0
18266.0;11;97;23;74;0;0
18267.0;11;4;3;1;0;0
18268.0;11;9;9;0;0;0
18269.0;11;18;18;0;0;0
18270.0;11;129;129;0;0;0
18292.0;11;0;0;0;0;0
18294.0;11;2;0;2;0;0
18295.0;11;7;6;1;0;0
18296.0;11;76;51;25;0;0
18297.0;11;58;13;45;0;0
18298.0;11;10;4;5;1;0
18299.0;11;4;4;0;0;0
18300.0;11;21;21;0;0;0
18301.0;11;153;152;0;0;1
18305.0;11;1;0;1;0;0
18306.0;11;1;1;0;0;0
18307.0;11;2;1;1;0;0
18308.0;11;0;0;0;0;0
18309.0;11;1;0;1;0;0
18310.0;11;0;0;0;0;0
18311.0;11;1;1;0;0;0
18312.0;11;1;0;1;0;0
18313.0;11;1;0;1;0;0
18314.0;11;0;0;0;0;0
18315.0;11;0;0;0;0;0
18316.0;11;0;0;0;0;0
18317.0;11;5;2;3;0;0
18318.0;11;1;0;1;0;0
18319.0;11;3;1;2;0;0
18320.0;11;8;4;3;0;1
18321.0;11;4;3;1;0;0
18323.0;11;0;0;0;0;0
18324.0;11;9;4;5;0;0
18325.0;11;104;65;39;0;0
18326.0;11;11;5;6;0;0
18327.0;11;6;0;6;0;0
18328.0;11;8;8;0;0;0
18329.0;11;21;21;0;0;0
18330.0;11;168;167;0;0;1
18334.0;11;94;81;13;0;0
18335.0;11;89;71;18;0;0
18336.0;11;86;62;24;0;0
18337.0;11;117;94;23;0;0
18338.0;11;107;95;12;0;0
18339.0;11;127;105;21;0;1
18340.0;11;126;103;23;0;0
18341.0;11;173;140;33;0;0
18342.0;11;131;111;20;0;0
18343.0;11;131;116;15;0;0
18344.0;11;245;209;36;0;0
18345.0;11;160;137;23;0;0
18346.0;11;153;121;32;0;0
18347.0;11;138;120;18;0;0
18348.0;11;109;91;18;0;0
18349.0;11;96;72;24;0;0
18350.0;11;62;51;11;0;0
18351.0;11;107;66;41;0;0
18352.0;11;61;37;24;0;0
18354.0;11;0;0;0;0;0
18355.0;11;9;6;3;0;0
18356.0;11;75;47;28;0;0
18357.0;11;20;12;8;0;0
18358.0;11;4;3;1;0;0
18359.0;11;4;4;0;0;0
18360.0;11;16;16;0;0;0
18361.0;11;149;149;0;0;0
18365.0;11;68;24;44;0;0
18366.0;11;87;28;59;0;0
18367.0;11;97;25;72;0;0
18368.0;11;69;23;45;1;0
18369.0;11;101;28;73;0;0
18370.0;11;90;18;72;0;0
18371.0;11;48;11;36;1;0
18372.0;11;49;31;18;0;0
18373.0;11;69;16;53;0;0
18374.0;11;85;27;58;0;0
18375.0;11;84;14;70;0;0
18376.0;11;112;16;96;0;0
18377.0;11;87;23;64;0;0
18378.0;11;24;12;12;0;0
18379.0;11;20;10;10;0;0
18380.0;11;26;5;21;0;0
18381.0;11;59;15;44;0;0
18382.0;11;86;13;73;0;0
18384.0;11;0;0;0;0;0
18385.0;11;6;5;1;0;0
18386.0;11;53;25;28;0;0
18387.0;11;41;1;40;0;0
18388.0;11;0;0;0;0;0
18389.0;11;6;6;0;0;0
18390.0;11;34;34;0;0;0
18391.0;11;134;133;0;0;1
18395.0;11;38;6;31;1;0
18396.0;11;23;1;22;0;0
18397.0;11;24;2;22;0;0
18398.0;11;21;1;20;0;0
18399.0;11;5;2;3;0;0
18400.0;11;4;3;1;0;0
18401.0;11;11;2;9;0;0
18402.0;11;14;3;11;0;0
18403.0;11;9;2;7;0;0
18404.0;11;11;3;7;1;0
18405.0;11;7;0;7;0;0
18406.0;11;5;1;4;0;0
18407.0;11;5;5;0;0;0
18408.0;11;13;2;11;0;0
18409.0;11;8;2;6;0;0
18410.0;11;0;0;0;0;0
18411.0;11;8;3;5;0;0
18412.0;11;8;2;6;0;0
18413.0;11;2;1;1;0;0
18415.0;11;0;0;0;0;0
18416.0;11;20;11;9;0;0
18417.0;11;78;37;41;0;0
18418.0;11;36;5;31;0;0
18419.0;11;0;0;0;0;0
18420.0;11;2;1;0;1;0
18421.0;11;33;33;0;0;0
18422.0;11;124;124;0;0;0
18426.0;11;1;1;0;0;0
18427.0;11;0;0;0;0;0
18428.0;11;5;5;0;0;0
18429.0;11;2;2;0;0;0
18430.0;11;7;7;0;0;0
18431.0;11;4;4;0;0;0
18432.0;11;2;2;0;0;0
18433.0;11;1;1;0;0;0
18434.0;11;5;5;0;0;0
18435.0;11;1;1;0;0;0
