date;state;death;hospitalized;inIcuCumulative;negative;onVentilatorCumulative;positive;recovered;totalTestResults;totalTestsViral
18341.0;41;3.0;0.0;0.0;2003.0;0.0;114.0;0.0;2117.0;0.0
18342.0;41;3.0;0.0;0.0;2003.0;0.0;114.0;0.0;2117.0;0.0
18343.0;41;4.0;43.0;0.0;2864.0;0.0;161.0;0.0;3025.0;0.0
18344.0;41;5.0;56.0;0.0;3649.0;0.0;191.0;0.0;3840.0;0.0
18345.0;41;8.0;61.0;0.0;4350.0;0.0;209.0;0.0;4559.0;0.0
18346.0;41;8.0;61.0;0.0;4350.0;0.0;209.0;0.0;4559.0;0.0
18347.0;41;11.0;90.0;0.0;6953.0;0.0;327.0;0.0;7280.0;0.0
18348.0;41;12.0;102.0;0.0;8510.0;0.0;414.0;0.0;8924.0;0.0
18349.0;41;13.0;117.0;0.0;9693.0;0.0;479.0;0.0;10172.0;0.0
18350.0;41;13.0;129.0;0.0;10878.0;0.0;548.0;0.0;11426.0;0.0
18351.0;41;16.0;140.0;0.0;12277.0;0.0;606.0;0.0;12883.0;0.0
18352.0;41;18.0;154.0;0.0;13136.0;0.0;690.0;0.0;13826.0;0.0
18265.0;41;18.0;154.0;0.0;13136.0;0.0;736.0;0.0;13872.0;0.0
18296.0;41;21.0;188.0;0.0;15259.0;0.0;826.0;0.0;16085.0;0.0
18325.0;41;22.0;204.0;0.0;16535.0;0.0;899.0;0.0;17434.0;0.0
18356.0;41;26.0;239.0;0.0;16535.0;0.0;999.0;0.0;17534.0;0.0
18386.0;41;27.0;258.0;0.0;19556.0;0.0;1068.0;0.0;20624.0;0.0
18417.0;41;27.0;258.0;0.0;20669.0;0.0;1132.0;0.0;21801.0;0.0
18447.0;41;33.0;324.0;0.0;21826.0;0.0;1181.0;0.0;23007.0;0.0
18478.0;41;33.0;324.0;0.0;23325.0;69.0;1239.0;0.0;24564.0;0.0
18509.0;41;44.0;326.0;0.0;24306.0;0.0;1321.0;0.0;25627.0;0.0
18539.0;41;44.0;326.0;0.0;24306.0;0.0;1321.0;0.0;25627.0;0.0
18570.0;41;48.0;338.0;0.0;25853.0;0.0;1371.0;0.0;27224.0;0.0
18600.0;41;52.0;359.0;0.0;28231.0;0.0;1527.0;0.0;29758.0;0.0
18365.0;41;53.0;369.0;0.0;29537.0;0.0;1584.0;0.0;31121.0;0.0
18366.0;41;55.0;381.0;0.0;30730.0;0.0;1633.0;0.0;32363.0;0.0
18367.0;41;58.0;401.0;0.0;31688.0;0.0;1663.0;0.0;33351.0;0.0
18368.0;41;64.0;414.0;0.0;33202.0;0.0;1736.0;0.0;34938.0;0.0
18369.0;41;70.0;427.0;0.0;34536.0;0.0;1785.0;0.0;36321.0;0.0
18370.0;41;72.0;449.0;0.0;35739.0;0.0;1844.0;0.0;37583.0;0.0
18371.0;41;74.0;456.0;0.0;37128.0;0.0;1910.0;0.0;39038.0;0.0
18372.0;41;75.0;465.0;0.0;38089.0;0.0;1956.0;0.0;40045.0;0.0
18373.0;41;78.0;471.0;0.0;39126.0;0.0;2002.0;0.0;41128.0;0.0
18374.0;41;78.0;488.0;0.0;39126.0;0.0;2059.0;0.0;41185.0;0.0
18375.0;41;83.0;512.0;0.0;41849.0;0.0;2127.0;0.0;43976.0;0.0
18376.0;41;86.0;520.0;0.0;43315.0;0.0;2177.0;0.0;45492.0;0.0
18377.0;41;87.0;536.0;0.0;45124.0;0.0;2253.0;0.0;47377.0;0.0
18378.0;41;91.0;546.0;0.0;46653.0;0.0;2311.0;0.0;48964.0;0.0
18379.0;41;92.0;554.0;0.0;48844.0;0.0;2354.0;0.0;51198.0;0.0
18380.0;41;92.0;554.0;0.0;48844.0;0.0;2354.0;0.0;51198.0;0.0
18381.0;41;101.0;569.0;0.0;52026.0;0.0;2446.0;0.0;54472.0;0.0
18382.0;41;103.0;578.0;0.0;53522.0;0.0;2510.0;0.0;56032.0;0.0
18266.0;41;104.0;591.0;0.0;55597.0;0.0;2579.0;0.0;58176.0;0.0
18297.0;41;109.0;595.0;0.0;57501.0;0.0;2635.0;0.0;60136.0;0.0
18326.0;41;109.0;598.0;0.0;59374.0;0.0;2680.0;860.0;62054.0;0.0
18357.0;41;109.0;608.0;0.0;60698.0;0.0;2759.0;860.0;63457.0;0.0
18387.0;41;113.0;622.0;0.0;62585.0;0.0;2839.0;860.0;65424.0;0.0
18418.0;41;115.0;641.0;0.0;65060.0;0.0;2916.0;1125.0;67976.0;0.0
18448.0;41;121.0;645.0;0.0;67469.0;0.0;2989.0;1125.0;70458.0;0.0
18479.0;41;124.0;659.0;0.0;69625.0;0.0;3068.0;1125.0;72693.0;0.0
18510.0;41;127.0;662.0;0.0;71460.0;0.0;3160.0;1125.0;74620.0;0.0
18540.0;41;127.0;670.0;0.0;72279.0;0.0;3228.0;1125.0;75507.0;0.0
18571.0;41;130.0;673.0;0.0;74320.0;0.0;3286.0;1125.0;77606.0;0.0
18601.0;41;130.0;673.0;0.0;74320.0;0.0;3286.0;1125.0;77606.0;0.0
18395.0;41;134.0;678.0;0.0;80571.0;0.0;3416.0;1406.0;83987.0;0.0
18396.0;41;137.0;685.0;0.0;80571.0;0.0;3479.0;1406.0;84050.0;0.0
18397.0;41;137.0;691.0;0.0;85965.0;0.0;3541.0;1406.0;89506.0;0.0
18398.0;41;137.0;699.0;0.0;88587.0;0.0;3612.0;1406.0;92199.0;0.0
18399.0;41;137.0;703.0;0.0;90733.0;0.0;3623.0;1406.0;94356.0;0.0
18400.0;41;138.0;708.0;0.0;93628.0;0.0;3687.0;1406.0;97315.0;0.0
18401.0;41;140.0;714.0;0.0;95994.0;0.0;3726.0;1406.0;99720.0;0.0
18402.0;41;144.0;723.0;0.0;98348.0;0.0;3801.0;1406.0;102149.0;0.0
